nohup: ignoring input
will save to logs/2022-06-09_20:26:30.ckpt

train E000:   0% 0/328 [00:00<?, ?it/s]
train E000:   0% 0/328 [00:10<?, ?it/s, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5480]
train E000:   0% 1/328 [00:10<55:36, 10.20s/it, acc=0.0000, loss=3.5475]
train E000:  11% 35/328 [00:17<01:03,  4.61it/s, acc=0.0370, loss=3.5391]
train E000:  11% 35/328 [00:17<01:03,  4.61it/s, acc=0.0404, loss=3.5396]
train E000:  11% 36/328 [00:17<01:08,  4.25it/s, acc=0.0404, loss=3.5396]
train E000:  11% 36/328 [00:17<01:08,  4.25it/s, acc=0.0517, loss=3.5394]
train E000:  11% 37/328 [00:17<01:06,  4.37it/s, acc=0.0517, loss=3.5394]
train E000:  11% 37/328 [00:17<01:06,  4.37it/s, acc=0.0619, loss=3.5398]
train E000:  12% 38/328 [00:17<01:09,  4.19it/s, acc=0.0619, loss=3.5398]
train E000:  12% 38/328 [00:18<01:09,  4.19it/s, acc=0.0661, loss=3.5406]
train E000:  12% 39/328 [00:18<01:07,  4.27it/s, acc=0.0661, loss=3.5406]
train E000:  12% 39/328 [00:18<01:07,  4.27it/s, acc=0.0609, loss=3.5411]
train E000:  12% 40/328 [00:18<01:05,  4.37it/s, acc=0.0609, loss=3.5411]
train E000:  12% 40/328 [00:18<01:05,  4.37it/s, acc=0.0840, loss=3.5418]
train E000:  12% 41/328 [00:18<01:10,  4.09it/s, acc=0.0840, loss=3.5418]
train E000:  12% 41/328 [00:18<01:10,  4.09it/s, acc=0.0856, loss=3.5441]
train E000:  13% 42/328 [00:18<01:06,  4.27it/s, acc=0.0856, loss=3.5441]
train E000:  13% 42/328 [00:19<01:06,  4.27it/s, acc=0.0622, loss=3.5427]
train E000:  13% 43/328 [00:19<01:06,  4.26it/s, acc=0.0622, loss=3.5427]
train E000:  13% 43/328 [00:19<01:06,  4.26it/s, acc=0.0850, loss=3.5440]
train E000:  13% 44/328 [00:19<01:10,  4.03it/s, acc=0.0850, loss=3.5440]
train E000:  13% 44/328 [00:19<01:10,  4.03it/s, acc=0.0619, loss=3.5446]
train E000:  14% 45/328 [00:19<01:07,  4.19it/s, acc=0.0619, loss=3.5446]
train E000:  14% 45/328 [00:19<01:07,  4.19it/s, acc=0.0657, loss=3.5446]
train E000:  14% 46/328 [00:19<01:03,  4.46it/s, acc=0.0657, loss=3.5446]
train E000:  14% 46/328 [00:19<01:03,  4.46it/s, acc=0.0801, loss=3.5425]
train E000:  14% 47/328 [00:19<01:01,  4.55it/s, acc=0.0801, loss=3.5425]
train E000:  14% 47/328 [00:20<01:01,  4.55it/s, acc=0.0720, loss=3.5424]
train E000:  15% 48/328 [00:20<00:59,  4.70it/s, acc=0.0720, loss=3.5424]
train E000:  15% 48/328 [00:20<00:59,  4.70it/s, acc=0.0535, loss=3.5396]
train E000:  15% 49/328 [00:20<00:58,  4.79it/s, acc=0.0535, loss=3.5396]
train E000:  15% 49/328 [00:20<00:58,  4.79it/s, acc=0.0539, loss=3.5357]
train E000:  15% 50/328 [00:20<00:57,  4.85it/s, acc=0.0539, loss=3.5357]
train E000:  15% 50/328 [00:20<00:57,  4.85it/s, acc=0.0619, loss=3.5348]
train E000:  16% 51/328 [00:20<01:03,  4.34it/s, acc=0.0619, loss=3.5348]
train E000:  16% 51/328 [00:20<01:03,  4.34it/s, acc=0.0597, loss=3.5356]
train E000:  16% 52/328 [00:20<01:00,  4.54it/s, acc=0.0597, loss=3.5356]
train E000:  16% 52/328 [00:21<01:00,  4.54it/s, acc=0.0744, loss=3.5346]
train E000:  16% 53/328 [00:21<01:00,  4.52it/s, acc=0.0744, loss=3.5346]
train E000:  16% 53/328 [00:21<01:00,  4.52it/s, acc=0.0819, loss=3.5356]
train E000:  16% 54/328 [00:21<01:00,  4.52it/s, acc=0.0819, loss=3.5356]
train E000:  16% 54/328 [00:21<01:00,  4.52it/s, acc=0.0922, loss=3.5355]
train E000:  17% 55/328 [00:21<01:05,  4.14it/s, acc=0.0922, loss=3.5355]
train E000:  17% 55/328 [00:22<01:05,  4.14it/s, acc=0.0655, loss=3.5337]
train E000:  17% 56/328 [00:22<01:09,  3.94it/s, acc=0.0655, loss=3.5337]
train E000:  17% 56/328 [00:22<01:09,  3.94it/s, acc=0.0618, loss=3.5308]
train E000:  17% 57/328 [00:22<01:06,  4.10it/s, acc=0.0618, loss=3.5308]
train E000:  17% 57/328 [00:22<01:06,  4.10it/s, acc=0.0544, loss=3.5317]
train E000:  18% 58/328 [00:22<01:03,  4.24it/s, acc=0.0544, loss=3.5317]
train E000:  18% 58/328 [00:22<01:03,  4.24it/s, acc=0.0411, loss=3.5312]
train E000:  18% 59/328 [00:22<01:07,  3.99it/s, acc=0.0411, loss=3.5312]
train E000:  18% 59/328 [00:23<01:07,  3.99it/s, acc=0.0234, loss=3.5321]
train E000:  18% 60/328 [00:23<01:10,  3.79it/s, acc=0.0234, loss=3.5321]
train E000:  18% 60/328 [00:23<01:10,  3.79it/s, acc=0.0624, loss=3.5317]
train E000:  19% 61/328 [00:23<01:07,  3.96it/s, acc=0.0624, loss=3.5317]
train E000:  19% 61/328 [00:23<01:07,  3.96it/s, acc=0.0585, loss=3.5330]
train E000:  19% 62/328 [00:23<01:04,  4.14it/s, acc=0.0585, loss=3.5330]
train E000:  19% 62/328 [00:23<01:04,  4.14it/s, acc=0.0524, loss=3.5342]
train E000:  19% 63/328 [00:23<00:59,  4.42it/s, acc=0.0524, loss=3.5342]
train E000:  19% 63/328 [00:23<00:59,  4.42it/s, acc=0.0511, loss=3.5351]
train E000:  20% 64/328 [00:23<00:57,  4.62it/s, acc=0.0511, loss=3.5351]
train E000:  20% 64/328 [00:24<00:57,  4.62it/s, acc=0.0580, loss=3.5340]
train E000:  20% 65/328 [00:24<00:57,  4.58it/s, acc=0.0580, loss=3.5340]
train E000:  20% 65/328 [00:24<00:57,  4.58it/s, acc=0.0338, loss=3.5350]
train E000:  20% 66/328 [00:24<00:54,  4.76it/s, acc=0.0338, loss=3.5350]
train E000:  20% 66/328 [00:24<00:54,  4.76it/s, acc=0.0514, loss=3.5349]
train E000:  20% 67/328 [00:24<00:54,  4.77it/s, acc=0.0514, loss=3.5349]
train E000:  20% 67/328 [00:24<00:54,  4.77it/s, acc=0.0410, loss=3.5324]
train E000:  21% 68/328 [00:24<00:53,  4.85it/s, acc=0.0410, loss=3.5324]
train E000:  21% 68/328 [00:24<00:53,  4.85it/s, acc=0.0298, loss=3.5314]
train E000:  21% 69/328 [00:24<00:52,  4.95it/s, acc=0.0298, loss=3.5314]
train E000:  21% 69/328 [00:25<00:52,  4.95it/s, acc=0.0225, loss=3.5282]
train E000:  21% 70/328 [00:25<00:52,  4.91it/s, acc=0.0225, loss=3.5282]
train E000:  21% 70/328 [00:25<00:52,  4.91it/s, acc=0.0187, loss=3.5300]
train E000:  22% 71/328 [00:25<00:51,  4.99it/s, acc=0.0187, loss=3.5300]
train E000:  22% 71/328 [00:25<00:51,  4.99it/s, acc=0.0212, loss=3.5302]
train E000:  22% 72/328 [00:25<00:50,  5.05it/s, acc=0.0212, loss=3.5302]
train E000:  22% 72/328 [00:25<00:50,  5.05it/s, acc=0.0253, loss=3.5295]
train E000:  22% 73/328 [00:25<00:53,  4.79it/s, acc=0.0253, loss=3.5295]
train E000:  22% 73/328 [00:25<00:53,  4.79it/s, acc=0.0243, loss=3.5302]
train E000:  23% 74/328 [00:25<00:53,  4.73it/s, acc=0.0243, loss=3.5302]
train E000:  23% 74/328 [00:26<00:53,  4.73it/s, acc=0.0195, loss=3.5306]
train E000:  23% 75/328 [00:26<01:00,  4.16it/s, acc=0.0195, loss=3.5306]
train E000:  23% 75/328 [00:26<01:00,  4.16it/s, acc=0.0219, loss=3.5303]
train E000:  23% 76/328 [00:26<01:02,  4.01it/s, acc=0.0219, loss=3.5303]
train E000:  23% 76/328 [00:26<01:02,  4.01it/s, acc=0.0289, loss=3.5296]
train E000:  23% 77/328 [00:26<00:58,  4.28it/s, acc=0.0289, loss=3.5296]
train E000:  23% 77/328 [00:26<00:58,  4.28it/s, acc=0.0152, loss=3.5288]
train E000:  24% 78/328 [00:26<00:55,  4.48it/s, acc=0.0152, loss=3.5288]
train E000:  24% 78/328 [00:27<00:55,  4.48it/s, acc=0.0170, loss=3.5260]
train E000:  24% 79/328 [00:27<00:53,  4.63it/s, acc=0.0170, loss=3.5260]
train E000:  24% 79/328 [00:27<00:53,  4.63it/s, acc=0.0090, loss=3.5260]
train E000:  24% 80/328 [00:27<00:52,  4.74it/s, acc=0.0090, loss=3.5260]
train E000:  24% 80/328 [00:27<00:52,  4.74it/s, acc=0.0221, loss=3.5241]
train E000:  25% 81/328 [00:27<00:50,  4.86it/s, acc=0.0221, loss=3.5241]
train E000:  25% 81/328 [00:27<00:50,  4.86it/s, acc=0.0184, loss=3.5270]
train E000:  25% 82/328 [00:27<00:49,  4.95it/s, acc=0.0184, loss=3.5270]
train E000:  25% 82/328 [00:27<00:49,  4.95it/s, acc=0.0122, loss=3.5262]
train E000:  25% 83/328 [00:27<00:49,  4.99it/s, acc=0.0122, loss=3.5262]
